### Forward Only
/content/spring2024-assignment2-systems
INFO - number of non-embedding parameters: 1490.72M
STAGE:2024-07-05 23:03:43 4814:4814 ActivityProfilerController.cpp:314] Completed Stage: Warm Up
STAGE:2024-07-05 23:03:46 4814:4814 ActivityProfilerController.cpp:320] Completed Stage: Collection
STAGE:2024-07-05 23:03:46 4814:4814 ActivityProfilerController.cpp:324] Completed Stage: Post Processing
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           forward_pass         7.19%     140.613ms        50.32%     983.522ms     196.704ms       0.000us         0.00%        2.143s     428.641ms             5  
                                           aten::matmul         1.23%      24.037ms        22.26%     435.015ms     225.982us       0.000us         0.00%        1.846s     958.922us          1925  
                                               aten::mm         2.44%      47.651ms         8.88%     173.586ms     120.129us        1.739s        89.06%        1.767s       1.223ms          1445  
                                           aten::linear         0.83%      16.124ms        11.50%     224.803ms     155.573us       0.000us         0.00%        1.696s       1.174ms          1445  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us        1.139s        58.32%        1.139s       2.349ms           485  
                                  ampere_sgemm_64x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     600.314ms        30.74%     600.314ms     625.327us           960  
                                       cudaLaunchKernel        22.34%     436.610ms        22.34%     436.610ms      43.902us     149.692ms         7.66%     149.692ms      15.052us          9945  
                                              aten::mul         1.37%      26.719ms         2.10%      41.085ms      28.334us      60.486ms         3.10%      89.071ms      61.428us          1450  
                                              aten::add         1.16%      22.728ms         1.81%      35.411ms      29.265us      30.887ms         1.58%      60.368ms      49.891us          1210  
                                            aten::clone         0.43%       8.430ms        10.53%     205.846ms     171.538us       0.000us         0.00%      53.720ms      44.767us          1200  
                                            aten::copy_         0.78%      15.298ms         8.99%     175.699ms     122.013us      23.055ms         1.18%      50.591ms      35.133us          1440  
                                              aten::bmm         0.81%      15.789ms         1.15%      22.422ms      46.712us      32.769ms         1.68%      45.097ms      93.952us           480  
                                              aten::div         0.78%      15.330ms         3.29%      64.279ms      89.276us      21.004ms         1.08%      35.453ms      49.240us           720  
                                          aten::reshape         0.53%      10.266ms        10.31%     201.530ms      83.449us       0.000us         0.00%      33.441ms      13.847us          2415  
void gemmSN_NN_kernel<float, 128, 2, 4, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us      32.769ms         1.68%      32.769ms      68.269us           480  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      28.843ms         1.48%      28.843ms     120.179us           240  
                                              aten::erf         0.21%       4.188ms         0.50%       9.723ms      40.513us      19.013ms         0.97%      23.012ms      95.883us           240  
